t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
766525334.995,766525344.995,766525339.934928,766525335.065,766525344.985,12.758961428599639,1.5883048363778367,2.6283460542915253e-15,3.2719079629383434e-16,17.31546168868157,0.12738458436403732,0.14434155892372402,9.926606043170667,1.68568177763888,2.044880844893157e-15,3.4725044619360926e-16,17.587998034016866,0.17029251318022176,0.20206215855174747,17.585527666047362,1.4069230462075821,3.622618699205757e-15,2.898261475187619e-16,16.967111489605223,0.08356400968072464,0.09053585627035687,139.0,156.2320462369246,29.0,25.906559931619036,8.884126152129294,42.87982333509358,68.04282588690738,0.8899012957142034,561.3099975585938,404.98260498046875,161.3869315178429,176.91932856627355,0.2554751526612819,14.870503425598145,0.0
766525344.995,766525354.995,766525350.1295455,766525345.24,766525354.98,9.946997518936605,1.6173600955335152,2.0490814889009407e-15,3.3317617967990413e-16,17.58576997595906,0.1635737591192239,0.1926647799604524,8.934327357139539,1.6522228989593324,1.840471435570745e-15,3.4035791718562246e-16,17.702345347145698,0.18423150595620186,0.22201239189990218,16.593248980016234,1.3666554718590627,3.418209289883344e-15,2.815310272029669e-16,17.030171425544182,0.08593148018452368,0.09332168973448063,132.0,147.4160501183378,40.0,35.67359438656469,8.884098002499423,59.04594932948639,68.04261029109848,0.8956219767900663,561.2744140625,402.53607177734375,161.2943529428806,176.91912516452044,0.25636204451211764,15.060606002807617,0.0
766525354.995,766525364.995,766525359.4314286,766525355.06,766525364.955,12.02904517200436,1.550084353067227,2.477983305432898e-15,3.1931737673184877e-16,17.379422110575387,0.13160193776082707,0.14978234811507818,9.02885292850188,1.6554343848974202,1.8599437032713874e-15,3.4101948328886856e-16,17.69091855291653,0.1827824484412517,0.219909230012302,16.687774551378574,1.370538265331964,3.437681557583986e-15,2.8233088265838457e-16,17.024003940281876,0.08569686992366954,0.09304502996164032,133.0,148.25676406741712,28.0,25.005776021634954,8.884154301759168,41.38887065649924,68.04304148271629,0.8973612425049377,561.1859130859375,400.2792053222656,161.18615490469205,176.9189972009906,0.2552553997175226,15.0,0.0
766525364.995,766525374.995,766525370.4695377,766525365.015,766525374.985,9.440749866260248,1.5275005320565478,1.944794472449611e-15,3.1466510960364885e-16,17.642483772240745,0.1628271636578127,0.19162910303897007,7.426529656796451,1.599989391962289,1.529865109300069e-15,3.295978147442315e-16,17.90303520078936,0.211835958252923,0.263437919131313,15.085451279673146,1.3030445765279688,3.107602963612668e-15,2.6842718276476156e-16,17.133604233553385,0.08995197267665489,0.09808311318677099,119.0,134.02878085805034,34.0,30.299641863160165,8.884638475392983,50.15113135971339,68.04674973062954,0.8880678538313046,558.6185913085938,397.99835205078125,158.63122045560672,176.9193554417369,0.25581250436809755,15.201681137084961,0.0
766525374.995,766525384.995,766525379.8937877,766525375.06,766525384.925,10.166844226383228,1.6218237904274928,2.094369910634945e-15,3.3409570082806353e-16,17.562034576334224,0.1606964203636707,0.18868265941411622,9.108780665192219,1.6581331832702981,1.876408817029597e-15,3.415754357536814e-16,17.681349388473322,0.1815774836143973,0.21816557206969023,16.767702288068914,1.3738030145322275,3.454146671342196e-15,2.830034209936389e-16,17.01881611390526,0.08549941408508843,0.09281228477967574,132.0,148.96978084176646,40.0,35.430866952551206,8.884328829464378,58.64419357663649,68.04437817673151,0.8862675662796089,556.1430053710938,396.9030456542969,156.17371498602697,176.92023976552454,0.2558733271845527,15.121212005615234,0.0
766525384.995,766525394.995,766525390.4145726,766525385.24,766525394.98,7.498673566546765,1.5842224200212909,1.5447267547086336e-15,3.2634981852438593e-16,17.892538879412733,0.20809973156920591,0.257674998428854,7.242067197685303,1.5933098393328635,1.4918658427231724e-15,3.2822182690256985e-16,17.93034362442285,0.2159063422506975,0.2697740753940714,14.900988820561997,1.294908545409911,3.0696036970357713e-15,2.6675116035444165e-16,17.146962277783963,0.09047481769437837,0.09870514984973511,117.0,132.41951228336075,45.0,39.743053629044994,8.88662583926202,65.78160600669517,68.06197079473864,0.8837415160510803,553.2739868164062,398.12353515625,153.28547274580754,176.91953340460682,0.2562807591913333,14.854701042175293,0.0
766525394.995,766525404.995,766525399.820887,766525395.01,766525404.85,8.081358585616748,1.6276081094059554,1.66475986863705e-15,3.3528727053762677e-16,17.8112890557869,0.1992215840767031,0.24418051896034854,8.162626399627726,1.6247987578698155,1.6815010383233115e-15,3.3470854412118197e-16,17.800425201356244,0.1970963366431846,0.2409911311669184,15.82154802250442,1.333738462738947,3.2592388926359104e-15,2.747501233242231e-16,17.081877565569187,0.08787250298678018,0.09561561292287735,124.0,140.7202494202543,47.0,41.592590753601044,8.894214979475786,68.84290883354657,68.12009542482089,0.8813923689937941,551.7537841796875,400.1704406738281,151.75387989398646,176.91923034200835,0.2559618202008981,15.008064270019531,0.0
766525404.995,766525414.995,766525410.0333059,766525405.025,766525414.93,7.8577205607097405,1.6000934589859215,1.6186904355062065e-15,3.296192525510998e-16,17.841758549493804,0.2012354737731954,0.24721725166263298,7.643604503666497,1.6076064996259893,1.5745825277552982e-15,3.311669389229538e-16,17.871754480886764,0.2072509472270987,0.2563728003811647,15.302526126543192,1.3123862890425306,3.1523203820678973e-15,2.703515755427613e-16,17.118092175854592,0.08933731651975307,0.0973526854584783,121.0,135.95741239459198,45.0,39.962245274764314,8.884638475392983,66.1444059720237,68.04674973062954,0.8903398307916139,551.6151123046875,402.8699951171875,151.64227362821913,176.91914206472552,0.2550276884291988,15.462809562683105,0.0
766525414.995,766525424.995,766525419.8718876,766525415.09,766525424.955,13.417463695460102,1.6753113268663824,2.7639975212647807e-15,3.4511413333447476e-16,17.260823927848296,0.12774667375550663,0.14480679321899714,11.529863568649438,1.737504365350857,2.375151895141784e-15,3.5792589926227654e-16,17.425439579060143,0.15240151223495957,0.1773420812326023,19.188785191526133,1.4689129064060171,3.952889749454383e-15,3.025960587196395e-16,16.872381297048324,0.08008611238599528,0.08646723442221216,151.0,170.64865471478242,35.0,31.00897536265066,8.893145293540613,51.32520060024938,68.1119027840823,0.8850945062251513,552.064697265625,405.109619140625,152.1505187708817,176.91948935604532,0.2554414056446675,14.79470157623291,0.0
766525424.995,766525434.995,766525429.7632258,766525425.035,766525434.895,7.818798627873381,1.6330188419614295,1.6106725173419164e-15,3.3640188144405447e-16,17.84714992980789,0.20593824505654368,0.25436393260261525,8.103663417034205,1.6231777006737573,1.6693546639090463e-15,3.34374606338794e-16,17.808296513875234,0.19822606883939642,0.24268459180718338,15.7625850399109,1.3315956707180903,3.2470925182216456e-15,2.743087081679266e-16,17.08593139343186,0.08805212037871257,0.09582833967092341,124.0,140.123228868317,48.0,42.66453461580645,8.88960970002856,70.6171607434038,68.08482395048314,0.8851586348019266,553.8115844726562,407.23455810546875,153.98162990750058,176.91905398278956,0.25569727349551435,15.0,0.0
