t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
818267137.995,818268256.995,818267683.3444232,818267138.005,818268256.71,0.15869080637148023,0.041341091661894834,3.269030611252493e-17,8.516264882350335e-18,22.07862058257398,0.2513687221748846,0.32767432213366376,0.04016148820562312,0.04273295510835532,8.273266570358362e-18,8.802988752321196e-18,23.570475506371046,0.7867890547322958,,0.9449131996913659,0.030543046652311386,1.9465211913642138e-16,6.291867610376145e-18,20.141520210542833,0.03453969574652049,0.0356746861192363,919.0,957.1039763245024,451.0,432.59378096192114,1012.9014777623154,796.3658240435366,916.4243455718929,0.9604241488734804,130.41226196289062,455.7438659667969,275.29062296578377,53.16783186019028,-26.35647164186031,9.053318977355957,0.0
818285686.995,818286022.995,818285859.1556273,818285687.095,818286022.11,-0.10273457400493378,0.07967539682158906,-2.1163322245016358e-17,1.6413131745247346e-17,,,,-0.008208562722576938,0.07769947176507984,-1.6909639208508494e-18,1.6006091183606448e-17,,,,0.9134919480131427,0.054818812073724,1.881793412907074e-16,1.1292675287187144e-17,20.178238190972564,0.0632750856175619,0.06719211910266765,271.0,277.6835845971724,172.0,167.80452436228137,303.9803308623989,308.9128743941998,280.1788262094861,0.9761311536068681,204.9569854736328,602.2158203125,280.9502011036653,53.16807139675997,-26.35655535197895,10.007380485534668,0.0
818338503.995,818339320.995,818338914.8467629,818338505.47,818339319.61,0.09042365741092494,0.04854634198197078,1.8627273426650535e-17,1.0000546448285981e-17,22.68929482705051,0.4665974660964025,0.8357580899884027,0.0014111410248097806,0.04977253707399435,2.906950511108148e-19,1.0253142637242835e-17,27.206073955273553,3.898902683800685,,0.9152486098360145,0.03520807215287899,1.8854121362621898e-16,7.25286286349307e-18,20.17615230523109,0.04098312585207964,0.042591000511077226,641.0,675.7618415309989,348.0,330.8141176779134,738.3369220872954,608.9987166343406,674.7199440101098,0.9488035223743579,401.071044921875,670.0892333984375,270.0913570164368,53.168082053318145,-26.35642370036176,10.628705024719238,0.0
818355916.995,818357086.995,818356511.4523702,818355917.645,818357085.335,0.11551325641500611,0.04030371292780799,2.3795730821491256e-17,8.302564863128446e-18,22.423420432123876,0.3249573146730498,0.4658971864484265,0.0031979526479800034,0.041600141314556374,6.5877824548388065e-19,8.569629110798613e-18,26.3178199278294,2.8659687686750743,,0.9168615019751974,0.029441425663922542,1.8887346940689068e-16,6.064933686768044e-18,20.17424065611024,0.03431611535620149,0.03543621979728684,924.0,969.8170219017973,484.0,460.4420861445007,1057.7573819083009,847.6320222205582,966.4343638814032,0.9530080261959677,414.6979064941406,670.1389770507812,270.5385284527012,53.16807460578486,-26.35650027127292,10.80086612701416,0.0
818415092.995,818416305.995,818415679.0150533,818415093.08,818416305.235,0.31259101723124655,0.03935847912460931,6.439374954963678e-17,8.107846699669518e-18,21.342558765591775,0.1287596357389269,0.14611019345546694,0.08973485755924035,0.041877221184769574,1.848538065720351e-17,8.626707564062532e-18,22.697597055573137,0.4158364271560906,0.6825248304880773,0.9999034123111622,0.03029925956931105,2.0598010293609942e-16,6.241647471278077e-18,20.080104873815543,0.03241155358997361,0.033408958992250604,938.0,1089.0606581215416,473.0,406.6453896558491,1089.1658581345398,748.5971945937222,991.3245149834509,0.8617619350179545,267.46478271484375,173.70892333984375,262.24651608140823,53.16783426425478,-26.3564833516675,10.224946975708008,0.0
818444679.995,818445913.995,818445299.4029474,818444680.175,818445911.375,0.24143101526512512,0.04099518318548943,4.973478914461577e-17,8.445007736210822e-18,21.623017348301,0.17027979910526625,0.2020442433992109,0.16655918347237236,0.04180418841800268,3.431119179530871e-17,8.611662814108551e-18,22.026078542205006,0.24313198443606865,0.31377659948888237,1.0599537222968016,0.030794517836844393,2.1835046679314114e-16,6.3436706743899445e-18,20.016782739172676,0.03109404154154305,0.032010854362710006,1123.0,1184.7507480321492,525.0,496.9795022116617,1117.738183384956,914.8940836169227,998.5811888716581,0.9481176800018388,354.5989685058594,666.8800659179688,270.71428341539587,53.16790378741781,-26.35652609528409,10.495101928710938,0.0
818509764.995,818511048.995,818510410.313357,818509764.995,818511048.015,0.14894223775989898,0.03773802278392227,3.068210097853919e-17,7.774032693487987e-18,22.147455313631326,0.2452013094933605,0.3172415647887341,0.03631369978084027,0.038997135716845745,7.480622154853095e-18,8.033409957670223e-18,23.679823753058777,0.7919674172759841,,0.9045467348037546,0.027856132624802764,1.8633662736957344e-16,5.738363320709369e-18,20.188922474323725,0.032931475426426715,0.03396164794589751,989.0,1054.436370552367,511.0,478.4665253568952,1165.7069004633925,880.8133762251935,1012.1052401364855,0.9381417272328354,133.57118225097656,371.9781494140625,267.8983744583064,53.168023110066414,-26.356440453969917,9.176946640014648,0.0
818539762.995,818540652.995,818540211.9453373,818539763.1,818540652.79,0.24409594797757328,0.048429530788427655,5.0283765283380094e-17,9.976483342416097e-18,21.611098574660495,0.19650782169382808,0.24011069334815716,0.21153655027453636,0.04884331672427322,4.357652935655449e-17,1.0061723245200283e-17,21.76653645593383,0.22555495800381564,0.2850398168083963,1.0706838279719886,0.03638112442351234,2.2056086856222965e-16,7.494511631243542e-18,20.005846892572848,0.03627964765906455,0.037533957723621114,845.0,866.1044116952318,372.0,363.2166081336982,808.926397380769,668.6487558824898,694.9869121672951,0.9758331949639198,207.14027404785156,592.9263305664062,272.79194071701613,53.167911797038194,-26.356554066062753,10.155029296875,0.0
818545985.995,818546574.995,818546280.9572268,818545993.06,818546572.23,0.12667357634937576,0.05720527344753685,2.6094756727971407e-17,1.1784286330192591e-17,22.323284919825014,0.40461436602058143,0.6522483570055577,0.06925209335310356,0.058135823743144556,1.4265931230739333e-17,1.1975979691087779e-17,22.978917735515793,0.6617383269567298,1.9861845858506086,0.9387087076154615,0.04188805410353809,1.9337399376878507e-16,8.628939145328846e-18,20.14867288382208,0.04739902061437817,0.049563112742031734,476.0,502.2053342332887,249.0,235.98964723761293,534.9959259555683,434.435486960151,465.1557464254836,0.9480337450621988,341.8250427246094,661.7950439453125,268.18085444028554,53.16809397815448,-26.35655491148974,10.533613204956055,0.0
844993818.995,844994157.995,844993992.619112,844993822.59,844994157.77,0.27748011310029597,0.07103181807456443,5.716090329866097e-17,1.4632554523360275e-17,21.471920342887437,0.247464469379306,0.3210514057117493,0.11010366110056126,0.0747363743420564,2.2681354186715618e-17,1.539569311446362e-17,22.475495599724653,0.5624857075285625,1.2330000410273634,0.9206761483480452,0.05450116042641438,1.8965928655969731e-16,1.1227239047841363e-17,20.169732769565094,0.06244173758421212,0.06625313372953201,259.0,285.3660381473888,119.0,108.29450235500435,309.95267843032167,199.36033388080347,251.2391134842854,0.9077763603763735,659.7446899414062,324.4234313964844,270.5163981621801,53.168082577084824,-26.35652525073104,11.108108520507812,0.0
