Row,ID,RAdeg,DEdeg,NUVmag,delmax,sigint,Sd,Sy,LC,Morph,rmag,Color,z,X.ray,Class
1,GROTH_MOS01-21,216.1622,54.0911,22.54,4.60,1.04,0.80,1.13,V,pt,14.92,Mdw,NA,,Mdw
5,GROTH_MOS07-09,212.5024,52.4153,>23.10,>3.61,3.51,0.09,0.69,F,pt,17.45,Mdw,NA,,Mdw
6,CDFS_MOS02-20,53.1682,-26.3564,>23.06,>3.60,0.73,0.95,0.78,,,15.72,Mdw,NA,,Mdw
7,CDFS_MOS00-41,53.3453,-27.3361,>23.10,>3.36,0.36,0.39,0.15,V,,15.76,,NA,,Mdw
8,COSMOS_MOS22-11,149.4973,3.1171,22.56,3.35,0.75,,0.58,F,pt,14.25,Mdw,NA,,Mdw
9,GROTH_MOS05-00,214.9435,52.9953,22.07,3.29,0.71,1.18,0.65,F,pt,14.15,Mdw,NA,X,Mdw
10,XMMLSS_MOS06-22,36.6468,-5.0886,>22.95,>3.28,0.95,<0.00,4.04,,pt,15.58,Mdw,NA,X,Mdw
11,XMMLSS_MOS06-13,36.1977,-5.7411,>22.95,>3.07,0.94,0.90,3.14,V,pt,16.36,Mdw,NA,,Mdw
15,CDFS_MOS00-34,53.2068,-27.4446,>23.10,>2.73,2.69,0.21,0.09,F,pt,21.18,,NA,,Mdw
20,XMMLSS_MOS00-06,35.359,-3.233,>22.93,>2.56,0.49,0.39,0.36,F,pt,17.09,Mdw,NA,X,Mdw
21,GROTH_MOS04-09,211.966,53.8581,>23.08,>2.47,2.37,0.80,0.34,F,pt,18.96,Mdw,NA,,Mdw
25,XMMLSS_MOS06-08,36.0164,-5.2675,>22.95,>2.32,0.49,0.79,0.45,F,pt,15.72,Mdw,NA,X,Mdw
27,VVDS22H_MOS05-06,333.9074,-0.8893,>22.28,>2.28,0.49,0.62,0.61,F,pt,14.46,Mdw,NA,,Mdw
28,VVDS22H_MOS01-12,332.7151,0.9594,21.41,2.18,0.40,0.55,0.75,V,pt,14.06,Mdw,NA,,Mdw
30,ELAISN1_MOS16-06,240.9017,54.6899,>23.03,>2.17,1.12,0.35,0.44,,pt,16.09,Mdw,NA,,Mdw
36,COSMOS_MOS27-03,149.1375,1.0526,>23.01,>2.01,1.94,0.42,0.26,F,pt,19.21,Mdw,NA,,Mdw
37,CDFS_MOS00-19,52.9703,-27.4303,>23.10,>1.98,1.94,0.18,<0.00,F,pt,18.43,Mdw,NA,,Mdw
39,ELAISN1_MOS12-16,243.4095,54.6647,>23.01,>1.94,0.53,0.53,0.54,V,pt,17.75,Mdw,NA,,Mdw
57,CDFS_MOS05-07,51.7588,-27.2906,>23.09,>1.83,1.76,0.30,0.17,F,pt,19.47,Mdw,NA,,Mdw
59,ELAISN1_MOS15-10,242.3832,53.6801,>23.03,>1.81,0.60,0.86,0.80,V,pt,16.13,Mdw,NA,,Mdw
65,VVDS22H_MOS01-14,332.7459,0.6269,>22.79,>1.77,1.69,0.28,0.33,F,pt,20.26,Mdw,NA,,Mdw
69,CDFS_MOS04-03,52.5758,-28.5337,>23.10,>1.75,1.68,0.19,0.27,F,pt,17.75,Mdw,NA,,Mdw
81,COSMOS_MOS23-27,151.0597,1.6834,>22.97,>1.69,1.61,0.28,0.40,F,pt,19.11,Mdw,NA,,Mdw
82,XMMLSS_MOS01-07,36.2256,-3.1559,22.94,1.69,0.44,0.48,0.39,V,pt,16.05,Mdw,NA,,Mdw
88,COSMOS_MOS25-12,149.26,1.9728,22.29,1.67,0.53,0.18,1.26,V,pt,19.98,Mdw,NA,,Mdw
