t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
847969011.995,847969125.995,847969066.38,847969012.415,847969123.66,0.37558229739345117,0.13446628045421855,7.736995326305094e-17,2.770005377356902e-17,21.143237214640497,0.3322660670740305,0.48119763335530763,,,,,,,,1.1192928349423101,0.10422656695418255,2.3057432399811586e-16,2.1470672792561605e-17,19.957640690824306,0.09666784218681101,0.106123319606521,102.0,115.32689014247129,47.0,41.62540289660828,103.03549396741684,76.62858260511979,,0.8846101867773571,599.8067016601562,386.8840637207031,200.23672443583686,37.28662659991212,-4.767382590299583,12.921568870544434,0.0
911307160.995,911308727.995,911307943.9280542,911307161.04,911308727.67,0.30831461849424613,0.03527224580341958,6.35128114098147e-17,7.266082635504433e-18,21.357514707638217,0.11760608744478773,0.1319101692851632,0.02661646129411355,0.03799616222183628,5.482991026587391e-18,7.827209417698273e-18,24.0171242131186,0.9629176515945979,,1.0321880114878486,0.027042240363070763,2.126307303664968e-16,5.570701514792577e-18,20.04560297354811,0.02807891309680599,0.028824401900664043,1200.0,1456.9085225586027,674.0,555.0137527081489,1411.4759194485705,1021.7298629400015,1419.3400283810265,0.8239408740082533,326.51031494140625,94.90652465820312,313.81963371680064,37.28636004043168,-4.767384506776524,7.989999771118164,32.0
940607477.995,940609072.995,940608269.588414,940607478.175,940609072.545,0.17824687138431247,0.03711675881146769,3.6718855505168366e-17,7.646052315162344e-18,21.952445210526893,0.2053761183435583,0.2535055695992341,,,,,,,,1.0781349329433505,0.02740254728432232,2.220957961863302e-16,5.644924740570397e-18,19.998317205096022,0.027250881926352832,0.027952499198171665,1450.0,1547.9765034370644,749.0,701.8549935703666,1435.791064863308,1292.0512381636293,,0.9369021430378385,91.81522369384766,473.6949157714844,316.8734715267899,37.28634104231633,-4.7673358004914705,7.043448448181152,32.0
940779057.995,940780587.995,940779827.6328977,940779058.44,940780587.37,0.30181258543973805,0.036617154930984656,6.217339260058604e-17,7.54313391578284e-18,21.38065663577923,0.12432793770852513,0.14042827267485336,0.03174728570156307,0.039196893712612764,6.539940854521993e-18,8.07456010479823e-18,23.825733499176007,0.8730254235364079,,1.0766325098049891,0.02792299913393462,2.2178629701982776e-16,5.7521378215905316e-18,19.999831276107283,0.027800141180268412,0.028530707373732866,1294.0,1486.657250954535,668.0,581.1815266933922,1380.8400149683514,1069.9023559582902,1442.819328491184,0.8707286773646555,167.9622344970703,199.4434356689453,306.699299177336,37.286504375496264,-4.767362453489808,8.1576509475708,32.0
940950673.995,940952122.995,940951394.9301903,940950675.6,940952120.945,0.3447822511019608,0.039227109711599414,7.102514372700392e-17,8.08078460058948e-18,21.236137747829446,0.11699227554596447,0.13113826285504615,0.09757759096266551,0.04157292695193049,2.0100983738309095e-17,8.56402295209768e-18,22.606624770348677,0.3853368381131723,0.6028147393777665,1.175836063598593,0.03002603089324438,2.4222222910131014e-16,6.185362364008342e-18,19.904133059674876,0.027377168684033393,0.02808538880022482,1340.0,1533.5491445231285,673.0,588.7727828766307,1304.220198715262,1083.8771684774338,1406.2864794476443,0.8740783533846729,160.74642944335938,186.14564514160156,320.8986695453928,37.2864063135248,-4.76721115603798,7.976865768432617,32.0
941382742.995,941384064.995,941383399.7936997,941382743.435,941384064.1,0.06209460334051079,0.04168458615541651,1.2791488288145223e-17,8.587024748015801e-18,23.09736535709806,0.5576410435479211,1.2080262169289497,,,,,,,,1.0610741819954097,0.029916383428994647,2.1858128149105438e-16,6.162774986372897e-18,20.015635631422278,0.030188118796349528,0.03105154192880022,1196.0,1257.9787739294597,675.0,643.3567084323666,1185.5709952001282,1184.3612132504932,,0.9509152126228123,111.10381317138672,507.11590576171875,308.11495262526034,37.28649975616423,-4.7672718727763765,7.632107257843018,32.0
941554355.995,941555709.995,941555038.9394846,941554359.375,941555709.085,0.34966824077813086,0.03889722089744803,7.203165760029496e-17,8.012827504874294e-18,21.220859528614707,0.11452001599096917,0.12803918876514686,0.04036714071303495,0.04205332664785596,8.3156309868852e-18,8.662985289458327e-18,23.56493002866202,0.7750177107604905,,1.09066920808264,0.030015215264317253,2.246778568650238e-16,6.183134344449354e-18,19.985767369376628,0.029475708415759527,0.030298302626519558,1106.0,1320.3928979625712,582.0,487.3001667336007,1210.6263642335496,897.0753069414012,1271.5233731666456,0.8379159841228,548.7435302734375,126.261962890625,311.5399665511611,37.28636757211473,-4.7673722104969345,8.760397911071777,97.0
941725978.995,941727353.995,941726640.1607409,941725979.485,941727353.94,0.25961284034846205,0.040276436840096824,5.348024511178318e-17,8.296945989059946e-18,21.544184578267622,0.15658692188373635,0.18303862672981808,0.07603094006813936,0.04208340211333884,1.5662373654036706e-17,8.6691808353478e-18,22.877524099349287,0.4782806882622772,0.8754551942726749,1.1303514881419956,0.030270839974313544,2.328524065572511e-16,6.23579303470859e-18,19.946966223980514,0.02869352720565388,0.02947246364595557,1242.0,1394.3701480067616,654.0,583.4720335756513,1233.5721787731213,1074.1189709006308,1300.5804956127383,0.8909301790623766,110.62973022460938,240.24456787109375,330.54039257642313,37.28647681018011,-4.767338133674648,7.432367324829102,32.0
941897474.995,941898976.995,941898204.542424,941897479.01,941898974.885,0.2344338952141871,0.036112136470924955,4.8293382414122536e-17,7.43910011301054e-18,21.654948991017715,0.15555191144529346,0.18162509608968946,,,,,,,,0.9957777561211157,0.027185259469060856,2.0513021776094984e-16,5.600163450626536e-18,20.08459394826887,0.02924377933457123,0.030053300741606392,1184.0,1341.7075895986172,632.0,557.2421555496861,1347.3966267583771,1025.8321499891947,,0.8827339197033226,136.23849487304688,249.91200256347656,303.4741151422005,37.28643149468129,-4.767340565945464,7.776182651519775,32.0
942068996.995,942070569.995,942069753.8140353,942068998.03,942070567.795,0.39471510073944827,0.0353427641560408,8.131131075232634e-17,7.280609416144404e-18,21.089290645866008,0.09310788198977349,0.10184774573783528,0.06718320060011355,0.03847464173288397,1.3839739323623392e-17,7.925776196974098e-18,23.011848275653204,0.491602619648031,0.9231232443001218,1.0821900747642788,0.027638008694616224,2.229311554014414e-16,5.693429791090942e-18,19.99424113372175,0.02738040909471451,0.028088799051712243,1244.0,1533.1815866614254,652.0,529.0717820878403,1416.7396489894634,973.9730533889788,1438.0004826252318,0.8115967432999973,370.3772888183594,88.28589630126953,313.1184878962815,37.28639770596737,-4.7673036355564635,7.823955059051514,32.0
