t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
740068582.995,740068592.995,740068588.193125,740068584.675,740068592.99,0.6088837545473228,0.3946555145917929,1.254300534367485e-16,8.129903600590933e-17,20.618664032693275,0.5424999611415444,1.134144167915185,0.08566668911632037,0.46356858957419766,1.7647337957961997e-17,9.549512945228472e-17,22.747970043944864,2.017366107019747,,0.9933890452099066,0.33509650745827846,2.0463814331324075e-16,6.902988053640536e-17,20.08720158395225,0.3155936734589382,0.4467510858963877,8.0,8.788179724817297,2.0,1.847776932446279,8.84666462469427,3.4015893529124677,8.030315256697264,0.9105883948259591,224.24526977539062,186.65744018554688,276.4141331851697,211.96291559620212,53.85918830873985,11.625,0.0
740068592.995,740068602.995,740068596.6255555,740068594.01,740068599.555,0.37859474688963757,0.4596876260867313,7.799051785926534e-17,9.469565097386665e-17,21.13456354072632,0.8630393759919492,,0.21700826271250168,0.4791281288852455,4.470370211877535e-17,9.870039455036056e-17,21.73880932457075,1.2655451689819692,,1.1247306188060877,0.3564229615313224,2.3169450747405407e-16,7.342313007545241e-17,19.952378704492652,0.2988789362699187,0.41378339158304556,9.0,9.957852465155366,4.0,3.5884156902509026,8.853544394235236,6.605947066143707,8.03656017731437,0.9040342517152777,224.10943603515625,186.06089782714844,276.96106211956334,211.9666744599638,53.85792011640079,13.11111068725586,0.0
740068602.995,740068612.995,740068608.6284375,740068603.305,740068612.685,0.46570032908899095,0.628578282010162,9.593426779233214e-17,1.2948712609409336e-16,20.90973363792809,0.9275534142607782,,1.0753137975876532,0.5712262790577616,2.2151464230305656e-16,1.1767261348589888e-16,20.001161954082214,0.46259271875052477,0.8225731853848082,1.983036153681239,0.4731159488323652,4.085054476583352e-16,9.746188545946723e-17,19.33667341972989,0.23231156453965696,0.29594158870854415,16.0,17.568152283514536,8.0,7.3020503720967636,8.85921935961764,13.442410912269041,8.041711470262035,0.9108598466094129,223.63241577148438,187.71095275878906,275.9930512624976,211.96831145428987,53.85838750181283,11.9375,0.0
740068612.995,740068622.995,740068618.07125,740068613.88,740068621.925,0.03843483703152739,0.46745719416143944,7.917576428494643e-18,9.629618199725652e-17,23.618187390133098,2.7983319862816245,,0.08026583796785294,0.46238352239053454,1.6534762621377707e-17,9.525100561245011e-17,22.8186731398814,2.074971378448442,,0.987988194061439,0.3338045199595594,2.0352556797665644e-16,6.876373111166924e-17,20.093120612429217,0.31602899649221783,0.44763013354295467,8.0,8.76030211683705,5.0,4.573559780183651,8.866808499831407,8.419507777156268,8.0486003024976,0.9132961173701355,224.2255859375,188.54562377929688,274.9719946865532,211.9699960758991,53.85885657677004,9.875,0.0
740068622.995,740068632.995,740068628.3891667,740068623.565,740068632.98,0.7262867628439232,0.5026404032635786,1.496150731458482e-16,1.0354392307229719e-16,20.427229677825302,0.571045039445579,1.2788657389080988,0.5754975922641169,0.5192817858950416,1.1855250400640809e-16,1.0697204789437856e-16,20.679891222520727,0.6982077430596938,2.525462665882909,1.483219948357703,0.40899812823592296,3.055433093616868e-16,8.425361441660013e-17,19.651986105444646,0.2644140730343487,0.3502789702250375,12.0,13.151293638521368,4.0,3.6457603760101396,8.866718421015813,6.711513419473211,8.048518535942875,0.9126484629507566,226.25376892089844,190.31483459472656,272.3152977804028,211.967150305763,53.85858697493547,11.583333015441895,0.0
740068632.995,740068642.995,740068636.0459999,740068633.29,740068638.9,0.23837179904010164,0.335929387467303,4.9104590602260935e-17,6.920145381826442e-17,21.63686281450359,0.9547120983420037,,-0.28806642662907317,0.4149705424895682,-5.934168388558907e-17,8.548393175285104e-17,,,,0.6196559294645129,0.2643134524283431,1.2764912146968965e-16,5.4448571200238673e-17,20.599623475500312,0.38571653196606803,0.6037587109566473,5.0,5.496201986278495,2.0,1.837081663048583,8.869764210968077,3.3819003342485274,8.05128326757451,0.9098430044480634,227.61392211914062,190.314697265625,271.4496012705714,211.9675485477498,53.85832114710077,10.800000190734863,0.0
740068642.995,740068652.995,740068647.4100001,740068644.325,740068649.595,-0.6790040313773564,0.46749173013007256,-1.3987483046373542e-16,9.630329640679495e-17,,,,-0.2771440138669871,0.416270560575516,-5.709166685659934e-17,8.575173547855629e-17,,,,0.630578342226599,0.2665168087896246,1.298991384986794e-16,5.490246261066266e-17,20.580652373904485,0.3827486469821366,0.5964106410553036,5.0,5.597948412063912,7.0,6.315246693041478,8.877482839479258,11.625795048553629,8.058289639232491,0.8932283060366835,229.42971801757812,190.41342163085938,270.22352771001795,211.96402104350423,53.859493603433464,12.399999618530273,0.0
740068652.995,740068662.995,740068657.4995832,740068654.305,740068661.81,1.1290680215756281,0.46037945509377637,2.325880124445794e-16,9.483816774931792e-17,19.948199732200298,0.3713151852407215,0.5687405240151868,0.5975601594948062,0.5213666743567339,1.230973928559301e-16,1.0740153491748718e-16,20.639045913726058,0.681050136540648,2.236159488946708,1.5052825155883922,0.4117875167495441,3.100881982112088e-16,8.482822845040609e-17,19.635954957074837,0.26254990294028246,0.34700304015553485,12.0,13.362560375181305,2.0,1.814156896236973,8.877111264364936,3.339697922618064,8.057952352194253,0.8982381750196868,230.6053466796875,188.2760772705078,271.1486087544482,211.96583766445715,53.8583001609641,12.416666984558105,0.0
740068662.995,740068672.995,740068669.1475,740068664.175,740068672.05,0.06456137212370182,0.4668579406222655,1.3299642657482575e-17,9.617273576818669e-17,23.055068120303726,2.2886614538380528,,0.09196842881779353,0.46353958643951104,1.8945496336465468e-17,9.548915480653927e-17,22.670903082270847,1.9526289063357254,,0.9996907849113796,0.33558094152765056,2.059363016917442e-16,6.912967395469602e-17,20.08033577793325,0.3142599108829742,0.44406442865396656,8.0,8.874355071248399,5.0,4.50931409675333,8.877100004512986,8.30123731447772,8.057942131374912,0.9018878915889885,231.00460815429688,185.08721923828125,273.3988767347396,211.96797254068838,53.8573333049374,13.875,0.0
740068672.995,740068682.995,740068675.595,740068673.45,740068678.5,-0.6809445207368603,0.4647991824530533,-1.4027457127179322e-16,9.574863158532897e-17,,,,-0.2884161055854658,0.41456099037191635,-5.941371775060596e-17,8.539956401661477e-17,,,,0.6193062505081203,0.26400829859068664,1.2757708760467277e-16,5.438570950968145e-17,20.600236341847996,0.38552480127913924,0.6032818980377499,5.0,5.502699159282215,7.0,6.275742046114774,8.885263397176166,11.553070584893106,8.06535222539685,0.9091171009187937,230.64132690429688,184.40235900878906,274.1618189203455,211.9664186887798,53.85724971162019,12.600000381469727,0.0
